id,key,value,type
322720043,power,Tower,regular
322720072,power,Tower,regular
322720078,power,Tower,regular
322720081,power,Tower,regular
322720082,power,Tower,regular
322720084,power,Tower,regular
322720085,power,Tower,regular
322720088,power,Tower,regular
322720100,power,Tower,regular
322720129,power,Tower,regular
322720138,power,Tower,regular
322720139,power,Tower,regular
322720141,power,Tower,regular
322720156,power,Tower,regular
322720158,power,Tower,regular
322720197,power,Tower,regular
322720209,power,Tower,regular
322720210,power,Tower,regular
322720574,power,Tower,regular
322720575,power,Tower,regular
322720581,power,Tower,regular
322720585,power,Tower,regular
322720586,power,Tower,regular
322720613,power,Tower,regular
322720614,power,Tower,regular
322720616,power,Tower,regular
322720617,power,Tower,regular
322720618,power,Tower,regular
322720620,power,Tower,regular
322720621,power,Tower,regular
322720659,power,Tower,regular
322720666,power,Tower,regular
322720669,power,Tower,regular
322720671,power,Tower,regular
322720680,power,Tower,regular
322720682,power,Tower,regular
322720684,power,Tower,regular
322720688,power,Tower,regular
322720690,power,Tower,regular
322720701,power,Tower,regular
322720737,power,Tower,regular
322720780,power,Tower,regular
322720782,power,Tower,regular
322720788,power,Tower,regular
322720789,power,Tower,regular
322720790,power,Tower,regular
322720791,power,Tower,regular
322720795,power,Tower,regular
322721005,power,Tower,regular
322721012,power,Tower,regular
322721013,power,Tower,regular
322721067,power,Tower,regular
322721068,power,Tower,regular
322721083,power,Tower,regular
322721679,power,Tower,regular
322721681,power,Tower,regular
322721690,power,Tower,regular
322721734,power,Tower,regular
322721751,power,Tower,regular
322721843,power,Tower,regular
322721846,power,Tower,regular
322721873,power,Tower,regular
322721876,power,Tower,regular
322721878,power,Tower,regular
322721900,power,Tower,regular
322721914,power,Tower,regular
322721930,power,Tower,regular
322721939,power,Tower,regular
322721949,power,Tower,regular
322721952,power,Tower,regular
322721953,power,Tower,regular
322721987,power,Tower,regular
322721989,power,Tower,regular
322722017,power,Tower,regular
322722022,power,Tower,regular
322722056,power,Tower,regular
322722121,power,Tower,regular
322722175,power,Tower,regular
322722208,power,Tower,regular
322722230,power,Tower,regular
322722239,power,Tower,regular
322722253,power,Tower,regular
322722264,power,Tower,regular
322722270,power,Tower,regular
322722273,power,Tower,regular
322722284,power,Tower,regular
322722289,power,Tower,regular
322722291,power,Tower,regular
322722318,power,Tower,regular
322722319,power,Tower,regular
322722447,power,Tower,regular
322770856,ref,NRD,regular
322770856,name,Naroda,regular
322770856,railway,Station,regular
322770858,railway,Level_Crossing,regular
322858002,building,Yes,regular
322867002,railway,Crossing,regular
322875864,power,Tower,regular
322875868,power,Tower,regular
322875949,power,Tower,regular
322875997,power,Tower,regular
322876080,power,Tower,regular
322876375,power,Tower,regular
322876564,power,Tower,regular
322876834,power,Tower,regular
322877115,power,Tower,regular
322877299,power,Tower,regular
322879082,power,Tower,regular
322879099,power,Tower,regular
322879241,power,Tower,regular
322879284,power,Tower,regular
322879404,power,Tower,regular
322879412,power,Tower,regular
322879413,power,Tower,regular
322879420,power,Tower,regular
322879454,power,Tower,regular
322879693,power,Tower,regular
322879769,power,Tower,regular
322879847,power,Tower,regular
322879891,power,Tower,regular
322879939,power,Tower,regular
322879952,power,Tower,regular
322879982,power,Tower,regular
322880038,power,Tower,regular
322880107,power,Tower,regular
322880223,power,Tower,regular
322880546,power,Tower,regular
322880875,power,Tower,regular
322881024,power,Tower,regular
322881474,power,Tower,regular
322881618,power,Tower,regular
322881753,power,Tower,regular
322881774,power,Tower,regular
322882291,power,Tower,regular
322882322,power,Tower,regular
322882574,power,Tower,regular
322882769,power,Tower,regular
322882915,power,Tower,regular
322882932,power,Tower,regular
322882994,power,Tower,regular
322882995,power,Tower,regular
322883071,power,Tower,regular
322883097,power,Tower,regular
322883100,power,Tower,regular
322883103,power,Tower,regular
322883266,power,Tower,regular
322883322,power,Tower,regular
322883450,power,Tower,regular
322883817,power,Tower,regular
322883825,power,Tower,regular
322883833,power,Tower,regular
322883851,power,Tower,regular
322884048,power,Tower,regular
322884049,power,Tower,regular
322884293,power,Tower,regular
322884654,power,Tower,regular
322884793,power,Tower,regular
322884945,power,Tower,regular
322884955,power,Tower,regular
322885135,power,Tower,regular
322885228,power,Tower,regular
