id,key,value,type
29378316,oneway,Yes,regular
29378316,highway,Primary,regular
29378316,motorroad,No,regular
29378322,ref,SH71,regular
29378322,oneway,Yes,regular
29378322,highway,Primary,regular
29378322,motorroad,No,regular
29378323,ref,SH71,regular
29378323,layer,1,regular
29378323,bridge,Yes,regular
29378323,oneway,Yes,regular
29378323,highway,Primary,regular
29378323,motorroad,No,regular
29378324,ref,SH71,regular
29378324,oneway,Yes,regular
29378324,highway,Primary,regular
29378324,motorroad,No,regular
29378592,oneway,Yes,regular
29378592,highway,Secondary,regular
29378600,highway,Secondary,regular
29379031,ref,NH947;SH17,regular
29379031,oneway,Yes,regular
29379031,highway,Trunk,regular
29379047,source,Yahoo Hires,regular
29379047,highway,Residential,regular
29379138,ref,NH947;SH17,regular
29379138,oneway,Yes,regular
29379138,highway,Trunk,regular
29382337,oneway,Yes,regular
29382337,highway,Primary_Link,regular
29382344,oneway,Yes,regular
29382344,highway,Primary_Link,regular
29382379,highway,Tertiary,regular
29383189,power,Substation,regular
29383196,power,Substation,regular
29383312,railway,Rail,regular
29383312,service,Spur,regular
29384224,power,Line,regular
29384525,boat,No,regular
29384525,waterway,Stream,regular
29384586,railway,Rail,regular
29384599,ref,NH147,regular
29384599,oneway,Yes,regular
29384599,highway,Trunk,regular
29384599,old,NH8C,ref
29384599,motorroad,No,regular
29384600,ref,NH147,regular
29384600,layer,1,regular
29384600,bridge,Yes,regular
29384600,oneway,Yes,regular
29384600,highway,Trunk,regular
29384600,old,NH8C,ref
29384600,motorroad,No,regular
29384603,ref,NH147,regular
29384603,layer,1,regular
29384603,bridge,Yes,regular
29384603,oneway,Yes,regular
29384603,highway,Trunk,regular
29384603,old,NH8C,ref
29384611,ref,NH147,regular
29384611,oneway,Yes,regular
29384611,highway,Trunk,regular
29384611,old,NH8C,ref
29384677,ref,SH71,regular
29384677,name,Koba - Gandhinagar Highway,regular
29384677,oneway,Yes,regular
29384677,highway,Primary,regular
29384677,motorroad,No,regular
29384678,ref,SH71,regular
29384678,name,Gandhinagar-Ahmedabad Highway,regular
29384678,layer,1,regular
29384678,bridge,Yes,regular
29384678,oneway,Yes,regular
29384678,highway,Primary,regular
29384678,motorroad,No,regular
29384680,ref,SH71,regular
29384680,name,Gandhinagar-Ahmedabad Highway,regular
29384680,layer,1,regular
29384680,bridge,Yes,regular
29384680,oneway,Yes,regular
29384680,highway,Primary,regular
29384680,motorroad,No,regular
29384755,highway,Unclassified,regular
29384758,layer,1,regular
29384758,bridge,Yes,regular
29384758,highway,Unclassified,regular
29384759,oneway,Yes,regular
29384759,highway,Unclassified,regular
29384760,highway,Unclassified,regular
29384871,highway,Secondary,regular
29384899,highway,Unclassified,regular
29384936,name,Broken Bridge,regular
29384936,layer,1,regular
29384936,bridge,Yes,regular
29384936,oneway,Yes,regular
29384936,highway,Secondary,regular
29384940,oneway,Yes,regular
29384940,highway,Secondary,regular
29384963,oneway,Yes,regular
29384963,highway,Tertiary,regular
29384989,oneway,Yes,regular
29384989,highway,Secondary,regular
29384997,oneway,Yes,regular
29384997,highway,Secondary,regular
29386881,power,Line,regular
29386881,cables,6,regular
29386881,voltage,220000,regular
29387646,power,Substation,regular
29387650,power,Line,regular
29388006,name,Ahmedabad Airport Runway,regular
29388006,length,3599,regular
29388006,aeroway,Runway,regular
29388006,surface,Asphalt,regular
29388006,wikipedia,En:Sardar Vallabhbhai Patel International Airport,regular
29388456,landuse,Village_Green,regular
29388470,layer,-2,regular
29388470,landuse,Village_Green,regular
29388470,created_by,Potlatch 0.10F,regular
29388617,aeroway,Taxiway,regular
29388618,aeroway,Taxiway,regular
29482485,power,Substation,regular
29485369,power,Line,regular
29485369,cables,6,regular
29486031,power,Line,regular
29486031,cables,6,regular
29486598,name,Vatwa,regular
29486598,power,Substation,regular
29487327,power,Line,regular
29488146,power,Line,regular
29488146,cables,3,regular
29488146,voltage,132000,regular
29489763,power,Line,regular
29489763,cables,6,regular
29489869,power,Line,regular
29490335,power,Substation,regular
29490341,power,Line,regular
29490474,power,Line,regular
29490645,power,Substation,regular
29491044,power,Line,regular
29491167,power,Line,regular
29491460,power,Line,regular
29491791,oneway,Yes,regular
29491791,highway,Secondary,regular
29491821,highway,Tertiary,regular
29491849,oneway,Yes,regular
29491849,highway,Tertiary,regular
29491933,oneway,-1,regular
29491933,highway,Tertiary,regular
29492063,oneway,Yes,regular
29492063,highway,Tertiary,regular
29492092,highway,Tertiary,regular
29492120,name,Gulab Tower Road,regular
29492120,oneway,Yes,regular
29492120,highway,Tertiary,regular
29492206,oneway,Yes,regular
29492206,highway,Secondary,regular
29492293,highway,Tertiary,regular
29492349,oneway,-1,regular
29492349,highway,Tertiary,regular
29492371,highway,Tertiary,regular
29492388,highway,Service,regular
29492424,highway,Tertiary,regular
29492433,highway,Tertiary,regular
29492433,created_by,Potlatch 0.10F,regular
29492446,highway,Tertiary,regular
29492446,created_by,Potlatch 0.10F,regular
29492472,highway,Tertiary,regular
29492514,oneway,Yes,regular
29492514,highway,Secondary,regular
29492754,name,AMGEN,regular
29492754,power,Plant,regular
29492754,landuse,Industrial,regular
29492754,operator,Torrent Power,regular
29492754,method,Combustion,generator
29492754,source,Coal,generator
29492754,output:electricity,422 MW,plant
29492760,name,BULKHIDAS ROAD,regular
29492760,highway,Tertiary,regular
29492788,highway,Secondary,regular
29492830,highway,Tertiary,regular
29492833,highway,Secondary,regular
29492867,highway,Tertiary,regular
29492905,name,Ram Bag Road,regular
29492905,oneway,Yes,regular
29492905,highway,Tertiary,regular
29492914,name,SHAMALBHAI LALLUBHAI PATEL ROAD,regular
